问题描述;A;B;C;D;答案;
体育类;系列;;;;;
棒球比赛一共有几个垒包;一个;两个;三个;四个;4;
斯诺克一共有几个球;9;13;16;22;4;
实现⼈体正常⽣理活动和运动的必要条件是;人体有氧工作能力; 氧的供应;血液循环;自身素质;2;
 100米跑的起跑分;预备、跑  ;各就位、预备、跑;各就位、跑;润;2;
以下那些是属于长跑项目;200米、400米;400米、800米 ;1500米、3000米;42千米;3;
马拉松跑全程为多少,属超长距离跑项目。;41．195千米;42．195千米 ;43．195千米 ;44．195千米;2;
"在雅典奥运会上获得男子110米栏冠军，并打破奥运会纪录的“亚洲飞龙""是";刘翔;巴特尔 ;姚明;林炜翔;1;
中国第一位奥运形象大使是 ;成龙;邓亚萍;杨澜;管泽元;2;
分腿腾越山羊和跳箱练习时，踏跳应采用;双脚;单脚;跨越;肉蛋葱鸡;1;
体育课的运动负荷是指学生做身体练习时 ;练习的数量;身体所承受的心理负担 ;身体所承受的生理负担;身体没有承受的生理负担;3;
决定跑速的因素主要是;内力;外力 ;步长和步频;技能cd;3;
课间操有助于消除学生学习中产生的疲劳，保护视力，并提高;学生的鉴别能力;学生的专项运动能力;学生的学习效率;学生的抗压能力;3;
小学生的安静时的脉博是每分钟;85次左右;75次左右;105次左右;115次左右;1;
以下哪项是径赛项目，是一个集体项目,发展协作能力。;接力跑;跳高;篮球;英雄联盟;1;
小学高段学生的睡眠时间为(   ） ，才能保证身体的发育和脑力的恢复;8 小时;9小时;10小时;钝角;2;
北京奥运会的举办时间;7月23日至8月9日;8月8日至8月24日;8月24日至9月10日;8月9日至8月24日;2;
第29届奥林匹克运动会会徽又名;五彩祥云;搏动的行星;中国印．舞动的北京 ;动感全球;3;
中国成功申办了第几届奥运会;30;26;29;28;3;
获得奥运会金牌最多的中国选手是;伏明霞、邓亚萍;邓亚萍、李宁;李宁、伏明霞;李宁， 王义夫;1;
每年哪一天为全民健身日;44720;44781;44842;44891;2;
奥林匹克日是哪一天? ;44735;44738;44801;44781;4;
世界卫生组织在１９９２年明确指出：世界上最好的运动是.;慢跑;登山;散步;游泳  ;3;
新中国体育史上第一个世界纪录是谁创造的？;陈镜开;许海峰;容国团;黄志宏;1;
在球类运动中，篮球、橄榄球、足球、排球中最重？;篮球;橄榄球;足球;排球 ;1;
动漫类;系列;;;;;
EVA著名的屋岛作战中，主角们对阵的使徒是？;鱼天使;雷天使;空天使;力天使;2;
下面4个人中谁不是王？;吉尔伽美什;伊斯坎达尔;亚瑟;卫宫切嗣;4;
俺はGandom（我就是高达）这句话是谁说的?;刹那·F·清英;基拉·大和;希罗·尤尔;巴纳吉·林克斯;1;
灼眼的夏娜中女主角的刀名字叫?;妖刀心渡;闪烁之光;洞爷湖;贽殿遮那;1;
《摇曳百合》中京子喜爱的冰淇淋口味是什么?;朗姆酒葡萄干;提拉米苏黑莓;覆盆子柠檬;焦糖巧克力;1;
《CLANNAD》中的冈崎朋也的配音是谁?;中村悠一;中村悠 ;肉村悠一;肉村悠一郎;1;
命运石之门男主角的网名是;约翰·提托;凤凰院凶真;栗悟饭和龟派气功;凤凰院胸针;1;
《AngelBeats！》中“天使”的真名是？;立华奏;耶和华;米迦勒;利华凑;1;
《火影忍者》中的第五代火影是谁?;漩涡鸣人;旗木卡卡西 ;宇智波佐助;千手纲手;4;
桂木桂马的协助者是谁?;艾露西 琉妮;琉妮;白娅·杜·罗德·赫尔梅尼姆;诺拉·芙萝莉安·蕾欧莉亚;1;
10psycho pass里最美警花是谁?;六合冢弥生;常守朱;宜野座伸元;唐之杜志恩;3;
《数码兽大冒险》中第八位被选召的孩子是?;武之内素娜/武之内空;城户丈;泉光子郎;八神光/八神嘉儿;4;
切丝papa的生日在几月几日;44876;44606;44652;44916;1;
为动画《魔法少女小圆》中佐仓杏子一角配音的声优是?;斋藤千和;喜多村英梨;野中蓝;悠木碧;3;
我的朋友很少》中，井上麻里奈为哪个角色配音?;三日月太空;三日月空太;三日月夜空;三日月星空;3;
谁被称为日本动画界的黑泽明?;宫崎骏;今敏;宫崎吾朗;新海诚;1;
游戏类;系列;;;;;
以下哪款游戏不是mihoyo的作品;崩坏三;原神;绝区零;明日方舟;4;
以下哪个游戏不是saga planets的作品;Coming Humming;樱花开了;GOLD★STAR;初雪樱;4;
以下游戏中不属于东方project正作的是?;东方梦终剧;东方永夜抄;东方幻想乡;东方花映冢;1;
杀手47的后脑勺上有什么;条形码;发髻;当然是头发;龙纹;1;
以下哪部游戏中没出现东风谷早苗?;东方绯想天则;东方地灵殿;东方神灵庙;东方风神录;1;
雾雨魔理沙的口癖是?;DA☆ZE ;咪啪;death;姆Q~;1;
切丝papa的生日在几月几日;44876;44606;44652;44916;1;
2022年英雄联盟msi比赛规定线上延迟为几毫秒;7;22;35;999;3;
德玛西亚之力此人物出自哪个游戏?;《亚瑟王之剑》;《DOTA》;《英雄联盟》;《梦三国》;3;
dota是哪个游戏的地图?;魔兽世界;英雄联盟;魔兽争霸;星际争霸;1;
“Hell，it`s about time”这句台词出自哪款游戏?;女装山脉;星际争霸2;鬼泣:DMC;火焰纹章:圣魔之光石;2;
由Nintendo公司发售的8位游戏机的名称缩写是什么?;FC;XBOX;PS3;PSP;1;
文化类;系列;;;;;
先秦时代，教育内容以“六艺”为主，下列不属于“六艺”的是;射;御;礼;武;4;
经魏晋多名⼠，有著名的⽵林七贤，《与⼭巨源绝交书》是⽵林七贤中的谁写给⼭涛的;阮籍;嵇康;刘伶;向秀;2;
科举制在中国影响深远，乡试录取者称为“举⼈”，会试录取者称为“贡⽣”，那么殿试录取者称为;“⼤元”;“解元”;“进⼠”;“榜眼”;3;
“⽣当做⼈杰，死亦为⿁雄，⾄今思项⽻，不肯过江东。”为哪位诗⼈的作品？;李⽩;杜甫;李商隐;李清照;4;
“⾖蔻”是指多少岁;13;15;18;20;1;
中国的书院制度⾃唐代始，有官⽅和私⼈设置的两类，下列各书院属于官⽅创办的是;岳麓书院;嵩阳书院;集贤书院;⽩⿅洞书院;3;
友谊的`深浅，由下列那⼀个成语可以看出情义最为深重？;莫逆之交;⾦兰之交;刎颈之交;点头之交;3;
⼀提到书法中的草书，⼈们便会想到“颠张醉素”，请问下列属于颠张的作品的是;⾃叙帖;⾃⾔帖;中秋帖;黄州寒⾷帖;2;
鲁迅先⽣称什么为“史家之绝唱，⽆韵之离骚”。;史记;汉书;三国志;资治通鉴;1;
郑⾕有诗⽈：“何事⽂星与酒星，⼀时钟在李先⽣。⾼吟⼤醉三千百，留着⼈间伴⽉明。”诗中 的李先⽣指的是;李商隐;李贺;李⽩;李煜;3;
“四⽺⽅尊”是哪个朝代的⽂物：;周;元;商;夏;3;
张渭《别韦郎中》⼀诗中有“不知郎中桑落酒，教⼈⽆奈别离何”⼀句，句中所提到的“桑落 酒”原产地在;永济;桑落;汾阳;绵竹;1;
“天道有常，不为尧存，不为桀亡。”是百家中那位思想家的观点;孟子;韩非子;荀子;老子;3;
爵是⼀种典礼时⽤的酒器，那么爵有⼏只脚？;三只脚;两只脚;四只脚;五只脚;1;
魏晋时期，建安七⼦是当时⽂学的代表⼈物，下列属于建安七⼦的是;嵇康;曹植;山涛;阮瑀;4;
南宋时期出现了中兴四⼤诗⼈，其中陆游声名最著，下列各诗句不是陆游所作的是;塞上长城空⾃许，镜中衰鬓已先斑。;⼭重⽔复疑⽆路，柳暗花明⼜⼀村。;可怜夜半虚前席，不问苍生问鬼神。;夜阑卧听风吹雨,铁马冰河入梦来。;3;
“蓬荜⽣辉”⼀词中的“蓬荜”原指房⼦的;窗户;门;房檐;窗沿;2;
生活类;系列;;;;;
“月有阴晴圆缺”，用科学的观点看待这件事，原因是?;地球绕月球转动偏角不同;地球绕太阳转动，月球绕地球转动，两者转速不一样，出现偏角，使地球掩住了月球的一部分;人有悲欢离合;太阳光照射不均匀;2;
⼈⾆头的哪个部位对甜味最敏感?;舌尖;舌两侧;舌根;舌中间;1;
感冒忌吃下列哪⼀种⾷物?;海鱼;生姜;青菜;豆浆;1;
数学符号中的“0”起源于;古印度;古希腊;中国;古罗马;1;
⽜的“年轮”长在;牛角上;牛蹄上;牙齿上;肚片上;3;
下列动物中不能够眨眼的动物是;蛇;蜥蜴;青蛙;乌龟;1;
飞机票头等舱的票价⼀般为普通舱票价的;2;1.8;1.5;1.3;0.03;
蝗⾍的“⽿朵”长在它的;头部;腹部;翅膀上;腿上;2;
⽑线开司⽶产⾃;山羊;绵羊;羚羊;兔子;1;
如想去除⾐服上的铁锈，应使⽤;盐酸;草酸;肥皂;汽油;2;
“⼭城”是我国哪座城市的雅号?;洛阳;西安;重庆;福州;3;
我国姓⽒中哪⼀个姓⽒的⼈⼝⽐例最多?;赵;钱;孙;李;4;
下列哪个国家很忌⽤⼈物肖像作商标;法国;日本;英国;美国;3;
动物中视⾓最⼤的是;鸟;鱼;马;虎;2;
世界上第⼀个迎来黎明的国家是;梵蒂冈;巴勒斯坦;斐济;南非;3;
吃⾍最多的动物是;大猩猩;鸡;蝙蝠;啄木鸟;3;
最⼤的两栖动物是;娃娃鱼;青蛙;蟾蜍;角怪;1;
科技类;系列;;;;;
傅里叶级数是傅里叶在研究哪种物理现象时提出的?;量子力学;电磁波;机械振动;热传导;4;
C语言中，如果ar是个数组，那么表达式ar[i]与什么等价?;&（ar+i）;*(ar+i);&ar+i ;*ar+i;2;
c语言中换行符是?;\n;\g;\h;\s;1;
下列各项不属于电脑操作系统的是;S60;XP; DOS;UNIX;1;
国际标准化组织ISO制定的OSI模型中，路由器工作在哪一层?;传输层;网络层;应用层;数据链路层;2;
X射线照射会导致;再⽣障碍性贫⾎;溶⾎性贫⾎;缺铁性贫⾎;再⽣红细胞性贫⾎;1;
现代体育运动会“⽕炬”⽕炬中常⽤的⽕炬燃料是;汽油;茶油;丁烷和煤油;重油和酒精;3;
埋⽊桩前，将埋⼊地下的⼀段表⾯⽤⽕微微烧焦，是因为碳在常温下;具有吸附性;具有氧化性;具有还原性;化学性质不活泼;4;
在⽣活中常说的“五⾦”不包括下列哪种⾦属;金;铁;锌;锡;3;
下列⽕炮哪⼀种主要是作防空武器?;加农炮;高射炮;迫击炮;火箭炮;2;
“隐形飞机”是指什么样的飞机?;肉眼看不见;飞太高看不见;体积太小;雷达测不到;4;
枪弹的⽤途不同，弹头的颜⾊各异，燃烧弹弹头是什么颜⾊?;红色;黄色;绿色;黑色;1;
“粒⼦束武器”是指什么武器?;微波武器;激光武器;X射线激光武器;次声武器;3;
防弹⾐是由什么材料制成的?;软不锈钢;钨合金钢;镍合金钢;玻璃陶瓷钢;4;
